year/Month,1,2,3,4,5,6,7,8,9,10,11,12
2008,538,780,1067,602,986,939,900,864,1066,1067,811,755
2009,967,894,960,1094,711,1191,1225,1114,940,1073,935,1350
2010,1019,877,1454,1153,920,1416,1318,708,710,879,1035,775
2011,952,750,886,739,1216,811,676,957,548,712,259,628
2012,672,851,782,451,95,199,542,792,582,501,437,161
2013,83,176,1181,977,912,1028,1173,1242,897,1026,1075,1149
2014,820,1089,750,856,1131,1207,1324,1342,1376,1048,1262,836
2015,859,857,847,925,991,673,1022,1053,779,868,1022,975
2016,851,1015,833,1098,768,834,916,899,923,918,609,915
2017,765,871,868,833,959,995,952,1083,898,652,839,1023
